"","ResponseId","Q71","Q7_4"
"97","R_1lc4Q21fZcUUsb8","NW Schmidt Way and NW Avondale Dr",11
"98","R_3kEXvHTTNqSvBWm","185th tv hwy",23
"99","R_240dKwk9EuYp1yy","Beaverton Hillsdale hw and Jamison st",7
"100","R_2S1T8lylLJNJPgu","Tv higheay",22
"101","R_1lbosaQ4fFMWYev","SE 72nd & SW Flavel",7
"102","R_RVW0FnCMV3S5XH3","Bethany and Westunion",21
"103","R_2aERtrzDjodTDTe","SW Broadway",0
"104","R_2wN2aEMwiOXmXIc","Lombard and Jordan",-7
"105","R_22A05qDOTTHR60q","NE 82nd & Fremont",10
"106","R_XBA0HZJpu6s6wJX","park ave and McLaughlin",23
"107","R_1LYWkx7W49e4r3P","122nd and Holgate",13
"108","R_1BWKuWEDrVTawgM","Jackson and broadway",0
"109","R_2a8gXZMsbNf1BWI","N Charleston and N Lombard",9
"110","R_2DY3bmBcColI76y","SE Park and SE McLoughlin",8
"111","R_2s7QOqdUFYJSstv","NW Barnes Rd",8
"112","R_A0DarnZc2Dac12h","Gresham station",-7
"113","R_23NeUkWdRgyIxmp","Division and 82nd",6
"114","R_6sNYbl7eKdXHZ5f","Goose hollow",-7
"115","R_xzwc0vSpVkMqqaJ","SW Capitol and 26th",6
"116","R_8BLtR37964DLmrn","None",30
"117","R_1NzG4mPNHxPFjl7","Se 116th and se holgate",9
"118","R_3rTa4gx3zWAwQjS","psu",0
"119","R_11d3HXUC18DNHsY","Civic drive",13
"120","R_2rkjE5QW26nB6ea","Hawthorne",2
"121","R_6xMNT2ERlM79VzH","SW Clay and SW Park",1
"122","R_1DTlzs4OeMNrtEd","Canyon and Camelot",5
"123","R_2rJzHB1cRwykyyi","13th and Tacoma St.",3
"124","R_2tbxN06nP1CBkav","Se holgate and se 33rd",4
"125","R_3KZpRNxci7PeN4U","Sw Hall Blvd",10
"126","R_3oyHSBQwAzh7N2g","NE Division and 181st Ave",15
"127","R_cUE9YKzZ1OthGJr","Park and Market",0
"128","R_2VeC2PcNGJSrFQf","42nd and Killingsworth",7
"129","R_290okauLh1qC9iU","Se Belmont & Se Cesar E Chavez Blvd",7
"130","R_3Mo2gJzFJ3X2xZi","NW 185th and West Union",10
"131","R_1eyKlMx2GsruKEI","holgate and 112th",10
"132","R_3lAkDUNs8OLmZ99","SW 12th and SW Montgomery",0
"133","R_1imoTXr8dnF5tKK","Don't know honestly.",7
"134","R_3qBXDZy2xGKtSpz","SW Gibbs and SW Corbett",3
"135","R_1jpp0nib2LFThTN","72 and foster",8
"136","R_UXFtIcyjZk9dsvn","NE Brookwood Way and NE Evergreen Pkwy",20
"137","R_27KjInuRvcJ6jDt","NE 17th Ave and SW Sunrise",18
"138","R_3KK4sUDEYfUk1e5","Foster & Holgate",5
"139","R_2ZHy87HoRYkRfF3","Powell and 39",4
"140","R_3G7BJsvm5BCyCkt","NE 14th and E Burnside",5
"141","R_22zselyJ2xX50LT","holgate blvd",15
"142","R_28J8fWCFlnJUs8J","Laidlaw and Bethany blvd.",15
"143","R_1ML30OiunI5jKjP","SW 17th Ave and SW Clay St",1
"144","R_1eY1UYwmlLM3hc1","SW Hall Blvd and Scholls Ferry Rd",-7
"145","R_3L14qpx7FR4kE90","Walnut and 99 Hwy",10
"146","R_2fKl5E3806Cmc56","SW Hall Blvd and SW Scholls Ferry Rd",10
"147","R_2XaqV4N46xLz3Nx","SW Montgomery and 12th",0
"148","R_2DUe9mkNxRWJfCx","Sw Hall and SW Washington",13
"149","R_Y086P7qggJF7qyl","SW Clay and SW Park",1
"150","R_1ePjvTwRmuqm1yd","Lombard and MLK",6
"151","R_2sbhXQenqt5VVjU","Murray and Cornell",10
"152","R_yvz1QH35qglSdQ5","Broadway and Williams",4
"153","R_1E3U15YEyFOPpVO","King road",21
"154","R_2E0DI0RbwGPKVd0","SE 130th and Division",14
"155","R_3oMXzmup5uw2gZZ","SE Bybee and 82nd",16
"156","R_3MzzpIqiY82yY1L","Milwaukie and Holgate",3
"157","R_6z0Kj58QFYr4Ydb","E 102nd Ave and E Burnside St",15
"158","R_sI12QaZwlbvnadb","10th and Jefferson",1
"159","R_aWvIRpnFPDdHP7r","NW Saltzman & Thompson",8
"160","R_3iVTJiasEWk86k7","NW Lovejoy and NW23rd",3
"161","R_1mt7A4UKJDZuyVg","SE Clackamas Rd and SE Johnson Rd",11
"162","R_1F8IshmtdhXEZIQ","NW 185th and SW Sandra LN (Aloha)",13
"163","R_22o8l7s5h5nfQOL","Burnside and Nw macLeay",3
"164","R_2zitiA0GvQ0BaIO","SE 17th and SE Rex",5
"165","R_2EAmeWlss57pEQJ","Blankenship & Virginia",15
"166","R_2TsYw0FIgQg2lc3","SE 72nd and Luther Rd.",13
"167","R_AFGRttMMf38nEDT","SW Beaverton Hillsdale highway and Laurelwood",4
"168","R_3JeogSgWbeQGw6K","SW Jackson and SW 6th",0
"169","R_2nUNQ2XSMv6SDVT","Garden home and oleson",10
"170","R_umgdw9KXyHWHAJj"," Carmen and seville",20
"171","R_2fva18SgUzeKzzB","N Wall Ave & N Lombard St.",9
"172","R_yWUCWopah1WIdbP","5th and college",0
"173","R_3QEm8LbjaKfpshI","SE Johnson Creek and 82nd",13
"174","R_1F32EaDuKn3flCO","Jefferson",0
"175","R_31SNXmRxcnxItGG","NW Belgrave and NW Thurman",4
"176","R_1i4mL85tsQS2T2f","SE Powell and Division",2
"177","R_6hhyFNlaNOQ7Knv","SW 5th and Sw College",1
"178","R_2E4xau4yxUn3d6Z","sw Broadway and sw yamhill st",3
"179","R_1EXMsWOe37jXLCb","SW Broadway",-7
"180","R_24pBAPl7YyqPE7S","SE 39th and Powell",5
"181","R_2aIVc2zPH2MrguI","Beaverton",17
"182","R_UtZIJsIaHZa2277","SW 11th and SW Market",0
"183","R_YcqIYxZBV745IIx","SW Hall Blvd and SW Durham Rd",10
"184","R_25XR6jxf2EAZVSc","SW Broadway and SW Jackson St",0
"185","R_3Ldokbn808NbrbP","Sw Montgomery and 12th",0
"186","R_2Vr8hudm8h6ZXAm","Hawthorne and SE 27th Ave",3
"187","R_2YLoKZASBbomN21","174th and Bronson",15
"188","R_3nTN8x3ZHstBfUf","SW broadway and 6th Avenue",0
"189","R_YW6VDaUD6jWlj6p","Sw Boones ferry and monroe pkwy",7
"190","R_1JPc8cmBgcjE1Xu","Broadway and College",1
"191","R_1IWTjkI32Y62Kkd","NE Rosa Parks and NE Vancouver",-7
"192","R_1jUJqCv0gzkxyAQ","SW Mill St. and SW 11th Ave.",0
"193","R_3gUHbX07zgZG1pD","Ne Fremont st and Ne 82nd",7
"194","R_2Yc4XPoFXcpuNU3","SW Jackson",0
"195","R_1ONVcewcq6l1Q2p","Sw 72nd Ave. and Sw Delaware Dr",13
"196","R_RwcNCrmREv1L8S5","SW Vermont and SW Bertha",4
"197","R_3Dwpnc39Eu01kHA","HWY 211 and S. Meridian Rd",30
"198","R_NX7QbIwx0djaDFD","5th and college",0
"199","R_1mrw8FnH0Gvr5WT","Powell and 82",8
"200","R_24eFVrntbPSK8Va","Broadway and 6th",0
